;;;;;;;;;;;
ROTEIRO DE HOMOLOGAÇÃO SAJ5 - SAJMP | SAJADM | SAJWEB;;;;;HOJE:;23/07/2026;;FUNCIONANDO;318;17%;
1200;SAJMP;Distribuição Processos 2ª Grau;Distribuição;Testar análise e distribuição individual e em lote, remessas, distribuição por sorteio e por prevenção;;FABRICIO;FUNCIONA;;;;
1201;SAJMP;Distribuição Processos 2ª Grau;Ajuste de peso por vaga ou classe;;;FABRICIO;FUNCIONA;;;;
1202;SAJMP;Distribuição Processos 2ª Grau;Cadastros de processos de 2º grau;;;FABRICIO;FUNCIONA;;;;
1203;SAJMP;Distribuição Processos 2ª Grau;Cadastro de vaga;;;FABRICIO;FUNCIONA;;;;
1204;SAJMP;Distribuição Processos 2ª Grau;Distribuição em lote;;;FABRICIO;FUNCIONA;;;;
1205;SAJMP;Distribuição Processos 2ª Grau;Distribuição individual;Abrir a tela;;FABRICIO;FUNCIONA;;;;
1206;SAJMP;Distribuição Processos 2ª Grau;Distribuição individual por prevenção;Testar a distribuição individual por prevenção;;FABRICIO;FUNCIONA;;;;
1207;SAJMP;Distribuição Processos 2ª Grau;Distribuição individual por sorteio;Testar a distribuição individual por sorteio;;FABRICIO;FUNCIONA;;;;
1208;SAJMP;Distribuição Processos 2ª Grau;Exceção da distribuição;;;FABRICIO;FUNCIONA;;;;
1209;SAJMP;Cadastro do TJ;Cadastrar um agente;;;FABRICIO;FUNCIONA;;;;
1210;SAJMP;Cadastro do TJ;Cadastrar uma comarca;;;FABRICIO;FUNCIONA;;;;
1211;SAJMP;Cadastro do TJ;Cadastrar um foro;;;FABRICIO;FUNCIONA;;;;
1212;SAJMP;Cadastro do TJ;Cadastrar um município;;;FABRICIO;FUNCIONA;;;;
1213;SAJMP;Cadastro do TJ;Cadastrar um procedimento;;;FABRICIO;FUNCIONA;;;;
1214;SAJMP;Cadastro do TJ;Cadastrar um tipo de cartório;;;FABRICIO;FUNCIONA;;;;
1215;SAJMP;Relatórios da SEDAP;Relatório de carga;;;FABRICIO;FUNCIONA;;;;
1216;SAJMP;Relatórios da SEDAP;Estatístico por especialidade;;;FABRICIO;FUNCIONA;;;;
1217;SAJMP;Relatórios da SEDAP;Estatístico por completo por distribuição;;;FABRICIO;FUNCIONA;;;;
1218;SAJMP;Relatórios da SEDAP;Estatístico por completo com data de vista no período;;;FABRICIO;FUNCIONA;;;;
1219;SAJMP;Relatórios da SEDAP;Relatórios de processos cadastrados;;;FABRICIO;FUNCIONA;;;;
1220;SAJMP;Relatórios da SEDAP;Relatórios de processos pendentes;;;FABRICIO;FUNCIONA;;;;
1221;SAJMP;Relatórios da SEDAP;Relatórios de processos por remessa ao tribunal;;;FABRICIO;FUNCIONA;;;;
1222;SAJMP;Relatórios da SEDAP;Relatórios de processos por movimentação;;;FABRICIO;FUNCIONA;;;;
1223;SAJMP;Relatórios da SEDAP;Relatório de atividade dos procuradores;;;FABRICIO;FUNCIONA;;;;
1224;SAJMP;Registro de participação de audiência;Abrir a tela;Abrir a tela;;FABRICIO;FUNCIONA;;;;
1225;SAJMP;Registro de participação de audiência;Preencher com número do MP;Preencher a tela com o campo número do MP;;FABRICIO;FUNCIONA;;;;
1226;SAJMP;Registro de participação de audiência;Preencher com número do judiciário;Preencher a tela com o campo número do judiciário;;FABRICIO;FUNCIONA;;;;
1227;SAJMP;Registro de participação de audiência;Inserir um registro de participação;Incluir um registro de participação;;FABRICIO;FUNCIONA;;;;
1228;SAJMP;Registro de participação de audiência;Excluir um registro de participação;Excluir um registro de participação;;FABRICIO;FUNCIONA;;;;
1229;SAJMP;Registro de participação de audiência;Abrir a aba de histórico;Abrir a aba de histórico;;FABRICIO;FUNCIONA;;;;
1230;SAJMP;Registro de participação de audiência;Minimizar através do ícone;Minimizar a tela;;FABRICIO;FUNCIONA;;;;
1231;SAJMP;Registro de participação de audiência;Restaurar janela minimizada;Restaurar a tela;;FABRICIO;FUNCIONA;;;;
1232;SAJMP;Registro de participação de audiência;Fechar através do ícone;Fechar a tela;;FABRICIO;FUNCIONA;;;;
1233;SAJMP;Registro de participação de audiência;Salvar;Utilizar o botão e verificar se os dados foram salvos;;FABRICIO;FUNCIONA;;;;
1234;SAJMP;Registro de participação de audiência;Limpar;Utilizar o botão e verificar se os campos foram limpos;;FABRICIO;FUNCIONA;;;;
1235;SAJMP;Registro de participação de audiência;Fechar;Utilizar o botão e verificar se a tela foi fechada;;FABRICIO;FUNCIONA;;;;
1236;DISTRIBUIÇÃO;Distribuição interna;Compensação de peso;Abrir janela e testar;;FABRICIO;FUNCIONA;;;;
1237;DISTRIBUIÇÃO;Distribuição interna;Distribuição individual;Abrir janela e testar;;FABRICIO;FUNCIONA;;;;
1238;DISTRIBUIÇÃO;Distribuição interna;Distribuição em lote;Abrir janela e testar;;FABRICIO;FUNCIONA;;;;
1239;DISTRIBUIÇÃO;Distribuição interna;Histórico de distribuição;Abrir janela e testar;;FABRICIO;FUNCIONA;;;;
1240;DISTRIBUIÇÃO;Distribuição interna;Impedimento;Abrir janela e testar;;FABRICIO;FUNCIONA;;;;
1241;DISTRIBUIÇÃO;Menu - Procuradorias;Distribuição Individual;Efetuar distribuição Distribuição Individual através da Tela de Cadastro de Processo de 2º Grau;;FABRICIO;ITEM DESABILITADO;;;;
1242;DISTRIBUIÇÃO;Menu - Procuradorias;Distribuição Individual;Efetuar distribuição Distribuição Individual através da Tela de Carga e Importação (Menu Carga - Botão na lateral direita);;FABRICIO;ITEM DESABILITADO;;;;
1243;DISTRIBUIÇÃO;Menu - Procuradorias;Distribuição Individual;Efetuar distribuição Distribuição Individual através da atividade no Fluxo de Trabalho (Cadastro de 2º Grau);;FABRICIO;ITEM DESABILITADO;;;;
1244;DISTRIBUIÇÃO;Menu - Procuradorias;Distribuição Individual;Efetuar distribuição Distribuição Individual através da Tela de Distribuição em Lote (Botão na lateral direita - Aba Analisados);;FABRICIO;ITEM DESABILITADO;;;;
1245;DISTRIBUIÇÃO;Menu - Procuradorias;Distrbuição em lote;Abrir Cadastro através da Tela de Distribuição em Lote (Botão na lateral direita - Aba Cadastrados e Analisados);;FABRICIO;ITEM DESABILITADO;;;;
1246;DISTRIBUIÇÃO;Menu - Procuradorias;Distrbuição em lote;Alterar Situação do Cadastro através da Tela de Distribuição em Lote (Botão na lateral direita - Aba Cadastrados);;FABRICIO;ITEM DESABILITADO;;;;
1247;DISTRIBUIÇÃO;Menu - Procuradorias;Distrbuição em lote;Atribuir Especialidade em Lote através da Tela de Distribuição em Lote (Botão na lateral direita - Aba Cadastrados);;FABRICIO;ITEM DESABILITADO;;;;
1248;DISTRIBUIÇÃO;Menu - Procuradorias;Distrbuição em lote;Carregar dados de Processos Distribuidos através da Tela de Distribuição em Lote (Aba Distribuiídos - Botão Restaurar);;FABRICIO;ITEM DESABILITADO;;;;
1249;DISTRIBUIÇÃO;Menu - Procuradorias;Distrbuição em lote;"""Imprimir"" Termo de Distribuição através da Tela de Distribuição em Lote (Impressora na barra lateral direita - Aba Distribuídos)";;FABRICIO;ITEM DESABILITADO;;;;
1250;DISTRIBUIÇÃO;Menu - Procuradorias;Distrbuição em lote;Consultar Processos Distribuídos através da Tela de Distribuição em Lote (Botão na lateral direita - Aba Distribuídos);;FABRICIO;ITEM DESABILITADO;;;;
1251;DISTRIBUIÇÃO;Menu - Procuradorias;Distrbuição em lote;Efetuar distribuição Distribuição em Lote através da atividade no Fluxo de Trabalho (Cadastro de 2º Grau);;FABRICIO;ITEM DESABILITADO;;;;
1252;DISTRIBUIÇÃO;Menu - Procuradorias;Demais ações no menu;Efetuar consulta na Tela de Ajuste de Pesos por Vagas ou Classe;;FABRICIO;ITEM DESABILITADO;;;;
1253;DISTRIBUIÇÃO;Menu - Procuradorias;Demais ações no menu;Efetuar cadastro através da Tela de Cadastro de 2º Grau aberta pelo Menu Procuradorias;;FABRICIO;ITEM DESABILITADO;;;;
1254;DISTRIBUIÇÃO;Menu - Carga;Remessa;Efetuar remessa de Secretaria para Promotoria através do Menu Carga >> Remessa;;FABRICIO;FUNCIONA;;;;
1255;DISTRIBUIÇÃO;Menu - Carga;Remessa;Efetuar remessa de Promotoria para Secretaria através do Menu Carga >> Remessa;;FABRICIO;FUNCIONA;;;;
1256;DISTRIBUIÇÃO;Menu - Carga;Remessa;Efetuar remessa de Promotoria para Promotoria através do Menu Carga >> Carga e Importação (Botão na lateral direita da Tela);;FABRICIO;FUNCIONA;;;;
1257;DISTRIBUIÇÃO;Menu - Carga;Remessa;Efetuar remessa de Secretaria para Promotoria através do Menu Carga >> Carga e Importação (Botão na lateral direita da Tela);;FABRICIO;FUNCIONA;;;;
1258;DISTRIBUIÇÃO;Menu - Carga;Remessa;Efetuar remessa de Promotoria para Secretaria através do Menu Carga >> Carga e Importação (Botão na lateral direita da Tela);;FABRICIO;FUNCIONA;;;;
1259;DISTRIBUIÇÃO;Menu - Carga;Remessa;Efetuar remessa através de atividade no Fluxo de Trabalho;;FABRICIO;FUNCIONA;;;;
1260;DISTRIBUIÇÃO;Menu - Carga;Outras opções - Aba Concluídos;Efetuar consulta por número do Lote (Digitando e procurando pela Lupa);;FABRICIO;FUNCIONA;;;;
1261;DISTRIBUIÇÃO;Menu - Carga;Outras opções - Aba Concluídos;Efetuar consulta por período de Lotes Cadastrados;;FABRICIO;FUNCIONA;;;;
1262;DISTRIBUIÇÃO;Menu - Carga;Outras opções - Aba Concluídos;Efetuar consulta por período de Lotes Cadastrados e Situações ;;FABRICIO;FUNCIONA;;;;
1263;DISTRIBUIÇÃO;Menu - Carga;Outras opções - Aba Concluídos;Emitir relatório de Comprovante da Remessa - Por Número de processo;;FABRICIO;FUNCIONA;;;;
1264;DISTRIBUIÇÃO;Menu - Carga;Outras opções - Aba Concluídos;Emitir relatório de Comprovante da Remessa - Por lote ou Número do processo e selecionar a opção de Agrupar por Procurador;;FABRICIO;FUNCIONA;;;;
1265;DISTRIBUIÇÃO;Menu - Carga;Outras opções - Aba Concluídos;Tentar acessar na promotoria onde ocorreu a remessa um dos cadastros recém remetidos a outra lotação;;FABRICIO;FUNCIONA;;;;
1266;DISTRIBUIÇÃO;Menu - Carga;Outras opções - Aba Concluídos;Verificar no Fluxo se os cadastros remetidos foram devidamente movidos para as filas corretas;;FABRICIO;FUNCIONA;;;;
1267;SAJMP;CSMP - Promotoria de justiça;Encaminhar NF;Remeter uma Notícia de Fato;;FABRICIO;FUNCIONA;;;;
1268;SAJMP;CSMP - Promotoria de justiça;Encaminhar PP;Remeter um Procedimento Preparatório;;FABRICIO;FUNCIONA;;;;
1269;SAJMP;CSMP - Promotoria de justiça;Encaminhar IC;Remeter um Inquérito Civil;;FABRICIO;FUNCIONA;;;;
1270;SAJMP;CSMP - Promotoria de justiça;Encaminhar um Protocolo;Remeter um Protocolo Unificado;;FABRICIO;FUNCIONA;;;;
1271;SAJMP;Secretaria;Encaminhar para publicação de aviso;Utilizar a atividade disponível e analisar comportamento;;FABRICIO;ITEM DESABILITADO;;;;
1272;SAJMP;Secretaria;Encaminhar para distribuição interna;Utilizar a atividade disponível e analisar comportamento;;FABRICIO;FUNCIONA;;;;
1273;SAJMP;Secretaria;Aviso publicado;Utilizar a atividade disponível e analisar comportamento;;FABRICIO;ITEM DESABILITADO;;;;
1274;SAJMP;Secretaria;Distribuir;Utilizar a distribuição interna e analisar comportamento;;FABRICIO;FUNCIONA;;;;
1275;SAJMP;Secretaria;Encaminhar para pedido de pauta presencial;Remeter o pedido de pauta presencial ao relator;;FABRICIO;FUNCIONA;;;;
1276;SAJMP;Secretaria;Encaminhar para pauta presencial;Encaminhar cadastro para pauta presencial;;FABRICIO;FUNCIONA;;;;
1277;SAJMP;Secretaria;Encaminhar para pauta virtual;Encaminhar cadastro para pauta virtual;;FABRICIO;FUNCIONA;;;;
1278;SAJMP;Conselheiro;Emitir voto;Emitir votos específicos;;;;;;;
1279;SAJMP;Conselheiro;Filas de trabalho;Verificar se os cadastros distribuídos foram devidamente separados de acordo com o tipo;;;;;;;
1280;SAJMP;Conselheiro;Deferir pauta presencial;Deferir pedido de pauta presencial e remeter cadastro;;;;;;;
1281;SAJMP;Conselheiro;Realizar devolução;Devolver cadastros à Secretaria do CSMP;;;;;;;
1282;SAJMP;Sessão Virtual;Incluir em votação;Incluir cadastros em votação e avaliar comportamento;;;;;;;
1283;SAJMP;Sessão Virtual;Emitir voto;Emitir votos específicos;;;;;;;
1284;SAJMP;Sessão Virtual;Devolver cadastro;Devolver os cadastros à Secretaria do CSMP;;;;;;;
1285;SAJMP;Sessão Virtual;Pedido de pauta presencial;Após pedir pauta presencial, verificar se o sistema moveu o cadastro de fila;;;;;;;
1286;SAJMP;Sessão Virtual;Expirar prazo da sessão;Verificar se o sistema moveu corretamente os cadastros de fila;;;;;;;
1287;SAJMP;Gravador de Audiência;Criar modelo de documento;Criar modelo com categoria de gravação;;;;;;;
1288;SAJMP;Gravador de Audiência;Emitir documento;Emitir documento com categoria de gravação;;;;;;;
1289;SAJMP;Gravador de Audiência;Iniciar;Iniciar gravação;;;;;;;
1290;SAJMP;Gravador de Audiência;Pausar;Pausar gravação;;;;;;;
1291;SAJMP;Gravador de Audiência;Incluir marcação;Incluir marcação na gravação;;;;;;;
1292;SAJMP;Gravador de Audiência;Parar;Parar gravação;;;;;;;
1293;SAJMP;Gravador de Audiência;Salvar;Salvar gravação;;;;;;;
1294;SAJMP;Gravador de Audiência;Testar detectação de áudio;Testar detectação de dispositivo de áudio;;;;;;;
1295;SAJMP;Gravador de Audiência;Testar detectação de vídeo;Testar detectação de dispositivo de vídeo;;;;;;;
1296;SAJMP;Gravador de Audiência;Acessar o vídeo pela consulta;Testar acesso ao vídeo pela consulta;;;;;;;
1297;SAJMP;Gravador de Audiência;Acessar o vídeo pela pasta digital no primeiro monitor;Testar acesso ao vídeo através da pasta digital do primeiro monitor;;;;;;;
1298;SAJMP;Gravador de Audiência;Acessar o vídeo pela pasta digital no segundo monitor;Testar acesso ao vídeo através da pasta digital do segundo monitor;;;;;;;
1299;SAJMP;Gravador de Audiência;Acessar o vídeo pelo editor de texto;Testar acesso ao vídeo pelo editor de texto;;;;;;;
1300;SAJMP;Gravador de Audiência;Clicar no ícone de audiência na pasta digital;Testar o clique no ícone na pasta digital com scrollbar puxado;;;;;;;
1301;SAJMP;Gravador de Audiência;Verificar o nome do documento com audiência;Verificar se o nome do documento não está prejudicado por causa do ícone;;;;;;;
1302;SAJMP;Gravador de Audiência;Testar consulta de audiência por outra lotação;Testar consulta e checar se as marcações não aparecem;;;;;;;
1303;SAJMP;Gravador de Audiência;Verificar se a degravação está sendo realizada;Verificar se a degravação foi executada;;;;;;;
1304;SAJMP;Gravador de Audiência;Pasta digital MP;Importar documento, liberar nos autos e importar uma gravação;Parâmetro 51516 = S;;;;;;
1305;SAJMP;Gravador de Audiência;Pasta digital MP;Importar documento, liberar nos autos e importar mais de uma gravação;;;;;;;
1306;SAJMP;Gravador de Audiência;Pasta digital MP;Importar documento, não liberar nos autos e importar uma gravação;;;;;;;
1307;SAJMP;Gravador de Audiência;Pasta digital MP;Importar documento, não liberar nos autos e importar mais de uma gravação;;;;;;;
1308;SAJMP;Gravador de Audiência;Pasta digital MP;Verificar a exibição de Vídeos importados em documentos na Pasta Digital do MP;;;;;;;
1309;SAJMP;Gravador de Audiência;Editor de documentos;Emitir documento que possibilita importar gravação, importar uma gravação e finalizar;;;;;;;
1310;SAJMP;Gravador de Audiência;Editor de documentos;Emitir documento que possibilita importar gravação, importar uma gravação e finalizar/assinar;;;;;;;
1311;SAJMP;Gravador de Audiência;Editor de documentos;Emitir documento que não possibilita importar gravação, tentar importar uma gravação (Não deve possibilitar);;;;;;;
1312;SAJMP;Gravador de Audiência;Editor de documentos;Verificar a exibição de Vídeos importados em documentos no Editor de Documentos;;;;;;;
1313;SAJMP;Gravador de Audiência;Outras opções;Validar botão com indicação de gravação alterando o dimensionamento da sessão que lista os documentos;;;;;;;
1314;SAJMP;Gravador de Audiência;Outras opções;Consultar cadastros que possuam documentos com gravação de audiência vinculados (deve apresentar o ícone com quantidade de gravações);;;;;;;
1315;SAJMP;Gravador de Audiência;Outras opções;Executar cópia de documentos que possuam gravações vinculadas;;;;;;;
1316;SAJMP;Gravador de Audiência;Pasta digital MP;Importar documento, liberar nos autos e importar uma gravação (Não deve exibir os botões do Gravador de Audiência);Parâmetro 51516 = N;;;;;;
1317;SAJMP;Gravador de Audiência;Pasta digital MP;Importar documento, não liberar nos autos e importar uma gravação (Não deve exibir os botões do Gravador de Audiência);;;;;;;
1318;SAJMP;Gravador de Audiência;Editor de documentos;Emitir documento que possibilita importar gravação, importar uma gravação e finalizar (Não deve exibir os botões do Gravador de Audiência);;;;;;;
1319;SAJMP;Gravador de Audiência;Editor de documentos;Emitir documento que possibilita importar gravação, importar uma gravação e finalizar/assinar (Não deve exibir os botões do Gravador de Audiência);;;;;;;
1320;SAJMP;Gravador de Audiência;Outras opções;Consultar cadastros que possuam documentos com gravação de audiência vinculados (Não deve apresentar o ícone com quantidade de gravações);;;;;;;
1321;SAJMP;Atalho -  Tela inicial;F6;Atualizar a tela inicial;;;;;;;
1322;SAJMP;Atalho - Fluxo de Trabalho;F5;Atualizar a fila de trabalho;;;;;;;
1323;SAJMP;Atalho - Fluxo de Trabalho;F11;Abrir a pasta digital do TJ;;;;;;;
1324;SAJMP;Atalho - Fluxo de Trabalho;F12;Abrir a pasta digital do MP;;;;;;;
1325;SAJMP;Atalho - Fluxo de Trabalho;ALT + F;Fechar o fluxo de trabalho;;;;;;;
1326;SAJMP;Atalho - Fluxo de Trabalho;CTRL + I;Abrir a tela de informações adicionais;;;;;;;
1327;SAJMP;Atalho - Pasta digital MP;F12;Abrir a pasta digital do MP;;;;;;;
1328;SAJMP;Atalho - Pasta digital MP;ALT + F;Fechar a pasta digital do MP;;;;;;;
1329;SAJMP;Atalho - Pasta digital MP;ALT + I;Utilizar a função de impressão;;;;;;;
1330;SAJMP;Atalho - Pasta digital MP;ALT + L;Limpar a tela da pasta digital do MP;;;;;;;
1331;SAJMP;Atalho - Pasta digital MP;ALT + M;Mostrar as peças sem efeito;;;;;;;
1332;SAJMP;Atalho - Pasta digital MP;ALT + N;Abrir a tela de digitalização de documento;;;;;;;
1333;SAJMP;Atalho - Pasta digital MP;ALT + S;Salvar as alterações feitas na pasta digital do MP;;;;;;;
1334;SAJMP;Atalho - Pasta digital MP;CTRL + F12;Ocultar ou mostrar a barra de navegação lateral;;;;;;;
1335;SAJMP;Atalho - Pasta digital MP;CTRL + MAIS;Aumentar o zoom;;;;;;;
1336;SAJMP;Atalho - Pasta digital MP;CTRL + MENOS;Diminuir o zoom;;;;;;;
1337;SAJMP;Atalho - Pasta digital MP;MAIS;Expandir árvore do documento selecionado;;;;;;;
1338;SAJMP;Atalho - Pasta digital MP;MENOS;Contrair árvore do documento selecionado;;;;;;;
1339;SAJMP;Atalho - Pasta digital MP;CTRL + SHIFT + MAIS;Expandir a árvore de documentos;;;;;;;
1340;SAJMP;Atalho - Pasta digital MP;CTRL + SHIFT + MENOS;Contrair a árvore de documentos;;;;;;;
1341;SAJMP;Atalho - Pasta digital TJ;F11;Abrir a pasta digital do TJ;;;;;;;
1342;SAJMP;Atalho - Pasta digital TJ;ALT + F;Fechar a pasta digital do TJ;;;;;;;
1343;SAJMP;Atalho - Pasta digital TJ;ALT + L;Limpar a tela da pasta digital do TJ;;;;;;;
1344;SAJMP;Atalho - Pasta digital TJ;ALT + S;Salvar as alterações feitas na pasta digital do TJ;;;;;;;
1345;SAJMP;Atalho - Pasta digital TJ;CTRL + F11;Ocultar ou mostrar a barra de navegação lateral;;;;;;;
1346;SAJMP;Atalho - Pasta digital TJ;CTRL + MAIS;Aumentar o zoom;;;;;;;
1347;SAJMP;Atalho - Pasta digital TJ;CTRL + MENOS;Diminuir o zoom;;;;;;;
1348;SAJMP;Atalho - Pasta digital TJ;CTRL + SHIFT + MAIS;Expandir a árvore de documentos;;;;;;;
1349;SAJMP;Atalho - Pasta digital TJ;CTRL + SHIFT + MENOS;Contrair a árvore de documentos;;;;;;;
1350;SAJMP;Atalho - Documentos liberados;CTRL + A;Assinar o documento selecionado;;;;;;;
1351;SAJMP;Atalho - Documentos liberados;CTRL + P;Abrir a propriedade do documento selecionado;;;;;;;
1352;SAJMP;Atalho - Documentos liberados;CTRL + T;Tornar sem efeito o documento selecionado;;;;;;;
1353;SAJMP;Atalho - Doumentos aguardando liberação;CTRL + E;Excluir o documento selecionado;;;;;;;
1354;SAJMP;Atalho - Doumentos aguardando liberação;CTRL + J;Liberar o documento selecionado;;;;;;;
1355;SAJMP;Atalho - Doumentos aguardando liberação;CTRL + M;Marcar todos os documentos;;;;;;;
1356;SAJMP;Atalho - Doumentos aguardando liberação;CTRL + N;Desmarcar todos os documentos;;;;;;;
1357;SAJMP;Atalho - Doumentos aguardando liberação;CTRL + O;Recategorizar o documento selecionado;;;;;;;
1358;SAJMP;Atalho - Gerenciador de arquivos;F3;Ocultar ou mostrar o formulário de pesquisa;;;;;;;
1359;SAJMP;Atalho - Gerenciador de arquivos;ALT + T;Selecionar a aba pastas;;;;;;;
1360;SAJMP;Atalho - Gerenciador de arquivos;ALT + P;Selecionar a aba pesquisar;;;;;;;
1361;SAJMP;Atalho - Gerenciador de arquivos;CTRL + F4;Fechar o gerenciador de arquivos;;;;;;;
1362;SAJMP;Atalho - Gerenciador de arquivos;ALT + I;Editar o documento selecionado;;;;;;;
1363;SAJMP;Atalho - Gerenciador de arquivos;ALT + L;Limpar os campos do formulário de pesquisa;;;;;;;
1364;SAJMP;Atalho - Gerenciador de arquivos;ALT + S;Realizar a consulta;;;;;;;
1365;SAJMP;Atalho - Editor de textos;F3;Inserir o autotexto;;;;;;;
1366;SAJMP;Atalho - Editor de textos;F5;Abrir os campos automáticos quando estiver editando um modelo de documento;;;;;;;
1367;SAJMP;Atalho - Editor de textos;F6;Abrir o painel auxiliar quando estiver editar um documento;;;;;;;
1368;SAJMP;Atalho - Editor de textos;F7;Verificar a ortografia;;;;;;;
1369;SAJMP;Atalho - Editor de textos;F8;Abrir a propriedade do documento;;;;;;;
1370;SAJMP;Atalho - Editor de textos;F10;Tornar ativo o menu principal do editor;;;;;;;
1371;SAJMP;Atalho - Editor de textos;CTRL + F8;Abrir tela de finalização do documento;;;;;;;
1372;SAJMP;Atalho - Editor de textos;ALT + C;Confirmar a finalização de documentos;;;;;;;
1373;SAJMP;Atalho - Editor de textos;CTRL + O;Criar documento externo;;;;;;;
1374;SAJMP;Atalho - Editor de textos;CTRL + U;Substituir texto;;;;;;;
1375;SAJMP;Atalho - Editor de textos;CTRL + K;Inserir hyperlink;;;;;;;
1376;SAJMP;Atalho - Editor de textos;CTRL + Q;Quebrar os campos automáticos;;;;;;;
1377;SAJMP;Atalho - Editor de textos;CTRL + G;Buscar os asteriscos contidos no documento;;;;;;;
1378;SAJMP;Atalho - Editor de textos;CTRL + M;Preencher o complemento do movimento;;;;;;;
1379;SAJMP;Atalho - Editor de textos;CTRL + A;Abrir um arquivo;;;;;;;
1380;SAJMP;Atalho - Editor de textos;CTRL + B;Salvar o documento;;;;;;;
1381;SAJMP;Atalho - Editor de textos;CTRL + P;Imprimir o documento;;;;;;;
1382;SAJMP;Atalho - Editor de textos;CTRL + Z;Desfazer a última ação;;;;;;;
1383;SAJMP;Atalho - Editor de textos;CTRL + R;Refazer a última ação;;;;;;;
1384;SAJMP;Atalho - Editor de textos;CTRL + X;Recortar;;;;;;;
1385;SAJMP;Atalho - Editor de textos;CTRL + C;Copiar;;;;;;;
1386;SAJMP;Atalho - Editor de textos;CTRL + V;Colar;;;;;;;
1387;SAJMP;Atalho - Editor de textos;CTRL + T;Selecionar todo o texto;;;;;;;
1388;SAJMP;Atalho - Editor de textos;CTRL + L;Localizar uma palavra;;;;;;;
1389;SAJMP;Atalho - Editor de textos;CTRL + N;Formatar com negrito;;;;;;;
1390;SAJMP;Atalho - Editor de textos;CTRL + S;Formatar com sublinhado;;;;;;;
1391;SAJMP;Atalho - Editor de textos;CTRL + I;Formatar com itálico;;;;;;;
1392;SAJMP;Atalho - Editor de textos;CTRL + ENTER;Inserir uma quebra de página;;;;;;;
1393;SAJMP;Atalho - Editor de textos;CTRL + F4;Sair do editor de texto;;;;;;;
1394;SAJMP;Atalho - Editor de textos;CTRL + ALT + F;Incluir uma nota de rodapé;;;;;;;
1395;SAJMP;Atalho - Editor de textos;CTRL + 1;Inserir parágrafo simples;;;;;;;
1396;SAJMP;Atalho - Editor de textos;CTRL + 2;Inserir parágrafo duplo;;;;;;;
1397;SAJMP;Atalho - Editor de textos;CTRL + 5;Inserir parágrafo 1,5 linha;;;;;;;
1398;SAJMP;Atalho - Geral;F4;Alternar entre o editor de texto e outras janelas;;;;;;;
1399;SAJMP;Atalho - Geral;F5;Abrir a tela de pesquisa no campo correspondente;;;;;;;
1400;SAJMP;Atalho - Geral;F9;Carregar o número do último cadastro manipulado;;;;;;;
1401;SAJMP;Atalho - Geral;F11;Abrir a pasta digital do TJ;;;;;;;
1402;SAJMP;Atalho - Geral;F12;Abrir a pasta digital do MP;;;;;;;
1403;SAJMP;Atalho - Geral;ALT + R;Abrir a tela de remessa;;;;;;;
1404;SAJMP;Atalho - Geral;TAB;Avançar um campo disponível;;;;;;;
1405;SAJMP;Atalho - Geral;SHIFT + TAB;Retroceder um campo disponível;;;;;;;
1406;INTEGRAÇÃO;Integração - SAJ;Processo de 1º grau;Recebimento de intimações - verificar encerramento da pendência de intimação e lançamento da pendência de manifestação;;FABRICIO;ITEM DESABILITADO;;;;
1407;INTEGRAÇÃO;Integração - SAJ;Processo de 1º grau;Efetuar a Importação de Processo Físico;;FABRICIO;ITEM DESABILITADO;;;;
1408;INTEGRAÇÃO;Integração - SAJ;Processo de 1º grau;Efetuar recebimento de intimação de Processo através da tela de Carga ;;FABRICIO;ITEM DESABILITADO;;;;
1409;INTEGRAÇÃO;Integração - SAJ;Processo de 1º grau;Efetuar recebimento de intimação de Processo através da Pasta Digital do TJ;;FABRICIO;ITEM DESABILITADO;;;;
1410;INTEGRAÇÃO;Integração - SAJ;Processo de 1º grau;Efetuar recebimento de intimação de Processo através de Atividade do Fluxo de Trabalho;;FABRICIO;ITEM DESABILITADO;;;;
1411;INTEGRAÇÃO;Integração - SAJ;Processo de 1º grau;Efetuar recebimento de intimação de Processo através  de um Peticionamento;;FABRICIO;ITEM DESABILITADO;;;;
1412;INTEGRAÇÃO;Integração - SAJ;Processo de 1º grau;Efetuar o recebimento de mais de um ato para o mesmo processo;;FABRICIO;ITEM DESABILITADO;;;;
1413;INTEGRAÇÃO;Integração - SAJ;Processo de 1º grau;Acessar a Pasta Digital do TJ de um dos cadastros importados;;FABRICIO;ITEM DESABILITADO;;;;
1414;INTEGRAÇÃO;Integração - SAJ;Processo de 1º grau;Consulta da pauta de audiências (Pauta cadastrada no PG);;FABRICIO;ITEM DESABILITADO;;;;
1415;INTEGRAÇÃO;Integração - SAJ;Processo de 1º grau;Efetuar consulta de Pauta de Audiência através da Agenda de Processo;;FABRICIO;ITEM DESABILITADO;;;;
1416;INTEGRAÇÃO;Integração - SAJ;Processo de 1º grau;Efetuar consulta de Pauta de Audiência através do Menu Consulta >> Pauta de Audiência do TJ;;FABRICIO;ITEM DESABILITADO;;;;
1417;INTEGRAÇÃO;Integração - SAJ;Processo de 1º grau;Verificar se após a importação de um processo que tenha Pauta de Audiência foi cadastrado um agendamento;;FABRICIO;ITEM DESABILITADO;;;;
1418;INTEGRAÇÃO;Integração - SAJ;Processo de 2º grau;Efetuar a Importação de Processo Físico;;FABRICIO;ITEM DESABILITADO;;;;
